           ,       ,        ,stdR               ,stdR              ,stdR              ,stdR              ,stdR               ,stdR               ,stdR              ,stdR              ,stdR              ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdTheta               ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta             ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta             ,stdTheta             ,stdTheta            ,stdTheta             ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta
is_off     ,       ,        ,False              ,False             ,False             ,False             ,False              ,False              ,False             ,False             ,False             ,False              ,False              ,False              ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,True               ,False                  ,False               ,False               ,False               ,False                ,False               ,False               ,False               ,False               ,False                ,False                ,False               ,True                 ,True                ,True                ,True                ,True                ,True                ,True                ,True                ,True                ,True                ,True                ,True
nflId      ,       ,        ,nan                ,35722.0           ,38707.0           ,40191.0           ,42450.0            ,44074.0            ,44987.0           ,45070.0           ,45266.0           ,46095.0            ,46263.0            ,46269.0            ,32361.0            ,34465.0            ,38843.0            ,40408.0            ,42515.0            ,43497.0            ,44966.0            ,44979.0            ,44997.0            ,45599.0            ,45605.0            ,46194.0            ,nan                    ,35722.0             ,38707.0             ,40191.0             ,42450.0              ,44074.0             ,44987.0             ,45070.0             ,45266.0             ,46095.0              ,46263.0              ,46269.0             ,32361.0              ,34465.0             ,38843.0             ,40408.0             ,42515.0             ,43497.0             ,44966.0             ,44979.0             ,44997.0             ,45599.0             ,45605.0             ,46194.0
gameId     ,playId ,frameId ,                   ,                  ,                  ,                  ,                   ,                   ,                  ,                  ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                       ,                    ,                    ,                    ,                     ,                    ,                    ,                    ,                    ,                     ,                     ,                    ,                     ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
2018090600 ,37     ,1       ,52.49952380736419  ,80.30216746763439 ,76.03788529410849 ,70.0722805394544  ,95.48013877241695  ,98.78191383041735  ,70.10337010443935 ,64.31300024100882 ,75.11185392466358 ,114.4690285623146  ,59.94852792187645  ,61.67544081723291  ,44.50334369460344  ,44.03340777182706  ,65.46908430702234  ,47.27122168931114  ,56.71137892874762  ,48.82411801558733  ,50.8903183326652   ,54.16463237205621  ,45.387936723318894 ,58.65306215365059  ,                   ,62.41920938300965  ,0.5366301547596926     ,0.5345463858163415  ,0.6750695652810625  ,0.5572832479703886  ,0.1683684741325617   ,0.41391755577960854 ,0.1847783741722548  ,0.390150337763507   ,0.39768936546365863 ,0.23919433913164345  ,0.14260476856951917  ,0.261417047009647   ,0.18302898554141836  ,0.08617764071489227 ,0.8418073169889188  ,0.38561318375470827 ,0.694377045318143   ,0.4722578203288902  ,0.6399640828674398  ,0.6336421172800675  ,0.2955508078177635  ,0.7367943480406006  ,                    ,0.7950274114827054
2018090600 ,37     ,2       ,52.503007532902345 ,80.293562631135   ,76.05194146108303 ,70.06379378823273 ,95.47846354021414  ,98.77789226340072  ,70.09354035858084 ,64.30375183455472 ,75.09341515738913 ,114.46665977480079 ,59.94852792187645  ,61.67285707667515  ,44.5131767008377   ,44.04165414695502  ,65.46908430702234  ,47.27874786836047  ,56.72164489857465  ,48.828667808982864 ,51.0228576228341   ,54.18667087024262  ,45.39085039961248  ,58.64634344952803  ,                   ,62.419347160956434 ,0.5363690879791091     ,0.5346098343345768  ,0.6750900396897089  ,0.5573587338141238  ,0.16826521948794226  ,0.4138248678111536  ,0.18480458610049139 ,0.3902094832175368  ,0.3977925140737402  ,0.23910946470878783  ,0.14260476856951917  ,0.2612604100768855  ,0.18298809679578065  ,0.08570566727533167 ,0.8418073169889188  ,0.3860051433717419  ,0.6937676437844287  ,0.47244020160726685 ,0.6329174193138157  ,0.6335723046998721  ,0.29576156435879875 ,0.7366680611740247  ,                    ,0.7952539675225626
2018090600 ,37     ,3       ,52.503007532902345 ,80.29865814570005 ,76.06599765992686 ,70.06379378823273 ,95.46860478712361  ,98.77789226340072  ,70.09537859231521 ,64.29994867805105 ,75.08032232216375 ,114.46429181190088 ,59.94005171836274  ,61.67027484939563  ,44.52300978146019  ,44.05076276297608  ,65.46162616373046  ,47.27874786836047  ,56.73832214649989  ,48.83321922626031  ,51.17637834001152  ,54.19687260349991  ,45.393766091832475 ,58.65375094569826  ,                   ,62.412489134787755 ,0.5363690879791091     ,0.5347169927239916  ,0.6751105065314518  ,0.5573587338141238  ,0.16828276162365124  ,0.4138248678111536  ,0.18494481962237747 ,0.3900656527139868  ,0.3977213190918049  ,0.23902458677366695  ,0.14279361910534785  ,0.2611037600230317  ,0.18294722611095302  ,0.08546005738321731 ,0.8417055602849534  ,0.3860051433717419  ,0.6932940383598472  ,0.47262254889463323 ,0.6254058358039463  ,0.633205129856045   ,0.29597229383493784 ,0.7365535205637741  ,                    ,0.7955949547799255
2018090600 ,37     ,4       ,52.51509211645734  ,80.29865814570005 ,76.07380429556551 ,70.06699222886623 ,95.47846354021414  ,98.77387154505992  ,70.09537859231521 ,64.29994867805105 ,75.04879079638792 ,114.47400753009391 ,59.93015351223456  ,61.679935959759234 ,44.54449573179608  ,44.06072627635636  ,65.46828850672668  ,47.28251368106395  ,56.752404354353125 ,48.83777226696566  ,51.33749117360527  ,54.20493427724085  ,45.40624846868545  ,58.661159211185044 ,                   ,62.39864261344152  ,0.5360107897338258     ,0.5347169927239916  ,0.6750283516303501  ,0.5571621217369349  ,0.16826521948794226  ,0.4137321722959346  ,0.18494481962237747 ,0.3900656527139868  ,0.39775329957042715 ,0.2390039047810718   ,0.14281736489015337  ,0.2610619073437512  ,0.18308629042604216  ,0.08544068501298036 ,0.8415916455251405  ,0.3862010763726728  ,0.6933169573568408  ,0.47280486218836804 ,0.6173963620729772  ,0.6330959642294157  ,0.29611871619418695 ,0.7364390088824846  ,                    ,0.7960505256471495
2018090600 ,37     ,5       ,52.51509211645734  ,80.29865814570005 ,76.09566741937414 ,70.07548001976154 ,95.48013877241695  ,98.77387154505992  ,70.08554915244655 ,64.29994867805105 ,75.0226059264806  ,114.47164059276865 ,59.93157765318714  ,61.679935959759234 ,44.585647914996144 ,44.07068980626466  ,65.46828850672668  ,47.28078891050783  ,56.77287820782032  ,48.842326930644894 ,51.5207579524991   ,54.21729797767498  ,45.43413804618726  ,58.67597804894265  ,                   ,62.39180154475426  ,0.5360107897338258     ,0.5347169927239916  ,0.6749666990180755  ,0.5570866631520388  ,0.1683684741325617   ,0.4137321722959346  ,0.1849710578835739  ,0.3900656527139868  ,0.39761078637533426 ,0.23891903011137064  ,0.14298252305320883  ,0.2610619073437512  ,0.1831434895269871   ,0.08542132140217198 ,0.8415916455251405  ,0.38667259250711944 ,0.6934753373765054  ,0.4729871414858601  ,0.6089450506906036  ,0.6324711949498227  ,0.2966218200151302  ,0.7362100722749646  ,                    ,0.7963917134622663
2018090600 ,37     ,6       ,52.50998571700434  ,80.29005417858428 ,76.10347495351313 ,70.08396820956987 ,95.50153192488591  ,98.76873645035661  ,70.08554915244655 ,64.29994867805105 ,74.99255229687813 ,114.4789906489396  ,59.93300342882876  ,61.69217859664222  ,44.644645815595844 ,44.08065335268977  ,65.47416055208345  ,47.29931289141525  ,56.8010431242244   ,48.87358898218955  ,51.71592888076168  ,54.229682831453104 ,45.45618769760614  ,58.71233686372907  ,                   ,62.39195861647556  ,0.5358470584282637     ,0.5347804622984351  ,0.6748845908989446  ,0.5570112228449817  ,0.16843661034280533  ,0.41386558051885447 ,0.1849710578835739  ,0.3900656527139868  ,0.3973452222595548  ,0.23881348700230517  ,0.14314767336271167  ,0.26117667226726016 ,0.18289872818825165  ,0.08540196654486705 ,0.8412620978264891  ,0.3865131361660613  ,0.6935210462228439  ,0.47288965917730197 ,0.6004449756419752  ,0.6318467107933872  ,0.2967036013786456  ,0.7358788099336837  ,                    ,0.7966183657660386
2018090600 ,37     ,7       ,52.52718343867297  ,80.29005417858428 ,76.11909156052769 ,70.10943517102388 ,95.54599782303809  ,98.76873645035661  ,70.09354035858084 ,64.29994867805105 ,74.96250396031338 ,114.47662556172767 ,59.945757147608035 ,61.71408267162366  ,44.7349639543836   ,44.11139762011628  ,65.48749269898795  ,47.33636445693733  ,56.83689822641626  ,48.93591727964236  ,51.92310660967812  ,54.23401607847237  ,45.500287911177    ,58.79249101713585  ,                   ,62.398950311683926 ,0.5356526563971556     ,0.5347804622984351  ,0.6747204251944213  ,0.5567850115330358  ,0.16867596930028095  ,0.41386558051885447 ,0.18480458610049139 ,0.3900656527139868  ,0.39707944522498234 ,0.23872861209227797  ,0.14345409779241425  ,0.2612495327546367  ,0.18275262193108663  ,0.08556982812660366 ,0.8410344253639234  ,0.38619459790128113 ,0.6934542328394141  ,0.4722381489085785  ,0.5919019481346094  ,0.6313313242298711  ,0.29686692631316886 ,0.7351034273117274  ,                    ,0.796503781148111
